"id","product_uid","product_title","search_term","relevance"
2,100001,"Simpson Strong-Tie 12-Gauge Angle","angle bracket",3
3,100001,"Simpson Strong-Tie 12-Gauge Angle","l bracket",2.5
9,100002,"BEHR Premium Textured DeckOver 1-gal. #SC-141 Tugboat Wood and Concrete Coating","deck over",3
16,100005,"Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included)","rain shower head",2.33
17,100005,"Delta Vero 1-Handle Shower Only Faucet Trim Kit in Chrome (Valve Not Included)","shower only faucet",2.67
18,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","convection otr",3
20,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","microwave over stove",2.67
21,100006,"Whirlpool 1.9 cu. ft. Over the Range Convection Microwave in Stainless Steel with Sensor Cooking","microwaves",3
23,100007,"Lithonia Lighting Quantum 2-Light Black LED Emergency Fixture Unit","emergency light",2.67
27,100009,"House of Fara 3/4 in. x 3 in. x 8 ft. MDF Fluted Casing","mdf 3/4",3
34,100010,"Valley View Industries Metal Stakes (4-Pack)","steele stake",2.67
35,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
36,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
37,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","gas mowe",3
38,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","honda mower",2
39,100011,"Toro Personal Pace Recycler 22 in. Variable Speed Self-Propelled Gas Lawn Mower with Briggs &amp; Stratton Engine","briggs and stratton lawn mower",3
48,100012,"Hampton Bay Caramel Simple Weave Bamboo Rollup Shade - 96 in. W x 72 in. L","hampton bay chestnut pull up shade",2.67
51,100013,"InSinkErator SinkTop Switch Single Outlet for InSinkErator Disposers","disposer",2.67
65,100016,"Sunjoy Calais 8 ft. x 5 ft. x 8 ft. Steel Tile Fabric Grill Gazebo","grill gazebo",3
69,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","door guards",1
75,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","metal plate cover gcfi",1.67
81,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","radiator grate",2.33
85,100017,"MD Building Products 36 in. x 36 in. Cloverleaf Aluminum Sheet, Silver","windows screens",2.33
88,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","1x1 rail decorative wood",1.33
90,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","4*8 beadboard paneling",2.67
92,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","4x8 beaded paneling",2.33
101,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","MDF 4x8",1.33
105,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","wainscot chair rail",2.33
106,100019,"House of Fara 8 Linear ft. MDF Overlapping Wainscot Interior Paneling Kit","wainscot plank paneling",2.33
113,100021,"1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head","lawn sprkinler",2
114,100021,"1804 Dual Spray Half Pattern 4 in Pop-Up Spray Head","rainbird sprinkler",2.33
117,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","PLATFORM FOR WASHERS",2.67
120,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","samsung front load washer 3.7",2
122,100022,"Samsung 4.2 cu. ft. Front Load Washer with Steam in White, ENERGY STAR","upholstery washing machines with steam",2.33
123,100023,"Quikrete 80 lb. Crack-Resistant Concrete","CONCRETE & MASONRY CLEANER & ETCHER",3
125,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2
126,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2
127,100023,"Quikrete 80 lb. Crack-Resistant Concrete","flexlock for cracks",2
136,100026,"Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver","Belgium block pavers",2
138,100026,"Nantucket Pavers Patio-on-a-Pallet 10 ft. x 10 ft. Concrete Tan Variegated Basketweave Yorkstone Paver","ourdoor patio tile",2.33
143,100027,"UltraTouch 48 in. x 24 ft. Radiant Barrier","insulation roll",2.33
147,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","6ft h bamboo fencing",2
149,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","balcony privacy screen",2.67
150,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","bamboo",1.67
157,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy lattice panels",2.33
158,100028,"Backyard X-Scapes 6 ft. H. x 16 ft. L Reed Fencing","privacy panels",1.67
162,100029,"DecoArt Americana Decor 16-oz. Whisper Chalky Finish","chalk paint",3
164,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","8 4616809045 9",1.67
165,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","shelf bracket",3
166,100030,"9.1 in. x 5.8 in. White Designer Shelf Bracket","white 4shelves",1.67
172,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","6 teir shelving",3
177,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","hdx wire shelving",3
178,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","kitchen  cabinet finishes",1
179,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","kitchen wire shelf tiered",3
181,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","pantry rack",2.67
182,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","plastic storage racks",2.67
186,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","Shelves Metal",3
191,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","steel shelving",2.67
193,100033,"HDX 48 in. W x 72 in. H x 18 in. D Decorative Wire Chrome Finish Commercial Shelving Unit","storage shelve",3
195,100034,"Marshalltown Masonry Brush","mortar tools",1
201,100036,"Rubbermaid 12 in. D Single Track Bracket","12 boltless bracket",2.33
202,100036,"Rubbermaid 12 in. D Single Track Bracket","12 in.  16 in single track brackets",2.33
203,100036,"Rubbermaid 12 in. D Single Track Bracket","12 wire shelf bracket",3
205,100036,"Rubbermaid 12 in. D Single Track Bracket","shelf track",2.33
210,100037,"Husky 9-Pocket Maintenance Pouch","husky tool bag",2.5
211,100037,"Husky 9-Pocket Maintenance Pouch","hussy tool bag",2.5
214,100038,"RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)","impact driver drill battery powered",2.33
215,100038,"RIDGID X4 18-Volt 1/2 in. Impact Wrench (Tool Only)","impact wrench",3
223,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","pellet stove",2.33
226,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","register for fuel",2.33
227,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","stove and mi",2.33
233,100039,"Emberglow 25,000 BTU Vent-Free Dual Fuel Gas Stove with Thermostat","ventless gas stove",3
241,100042,"American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone","American Standard Bone round toliet",3
245,100042,"American Standard Cadet 3 FloWise 2-piece 1.28 GPF Round Front Toilet in Bone","cadet 3 insulated in bone",2.33
255,100045,"Sumner Street Home Hardware Grayson 2-1/2 in. Oil Rubbed Bronze Cup Pull","grayson",2.33
257,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","6 stell",2
259,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","fece posts metal",2
261,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","green painted pop rivets",2.33
262,100023,"Quikrete 80 lb. Crack-Resistant Concrete","concrete for ponds",2
263,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","green pop rivets",2.33
266,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","post",2.67
270,100046,"HDX 6 ft. Heavy Duty Steel Green Painted T-Post","wire fencing 6 ft high",1.67
272,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","bolt 1/2 in by 12",3
275,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","metal sheet",2.33
276,100047,"Crown Bolt 24 in. x 1/2 in. x 12 in. Plain Metal Expanded Sheet","sheet metal",3
284,100049,"Henry 587 4.75 Gal. White Roof Coating","elastomeric roof coating",2
290,100050,"Hampton Bay Beverly Patio Dining Arm Chairs with Custom Cushion (2-Pack)","outdoor dining",2.67
293,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","cushions outdoorlounge",3
294,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","hampton bay spring",3
297,100051,"Hampton Bay Spring Haven Brown All-Weather Wicker Patio Lounge Chair with Sky Blue Cushions","outdoorfurniture",2.33
305,100053,"60 in. x 150 ft. 10/10 Remesh","wiremesh",3
314,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","front doors",3
318,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","prehung steel door",3
319,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","stanley doors",2.67
323,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","kingsley moen kitchen faucet",2.33
327,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","kitchen sink faucet",3
331,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","pricepfister kitchen faucet g135",2
334,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","soap dispenser kitchen",2.67
335,100055,"MOEN Essie Single-Handle Pull-Down Sprayer Kitchen Faucet in Spot Resist Stainless with Soap Dispenser","soap dispenser kitchen",2.66
336,100054,"Stanley Doors 36 in. x 80 in. Chatham 3/4 Lite 1-Panel Prefinished Steel Prehung Front Door","stanly doors",2.67
 